slug,作品,年份／媒介,最高明确度,女女关系位置,恋爱位置,适合的查询,男性恋爱线,Bangumi 条目,Bangumi 维基百合,Bangumi 百合标签比例,Anime-Planet GL,AniList Yuri 相关性,MyAnimeList Girls Love
ohmuro_ke_dear_sisters_movie_2024,大室家 亲爱的姐妹们,2024 剧场动画,明确交往,主线,重要副线,交往、欲望、未确认、主线、官方字面、官方恋爱,无,https://bangumi.tv/subject/448655,命中,0.13694752884824735,命中,82,命中
toaru_kagaku_no_railgun_tv_2009,某科学的超电磁炮,2009 TV,明确欲望,主线,重要副线,欲望、未确认、主线,副线,https://bangumi.tv/subject/2585,未命中,0.060664125834368615,未命中,53,未命中
kageki_shoujo_tv_2021,歌剧少女!!,2021 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/317680,命中,0.04770547057298419,未命中,20,未命中
shoujo_kageki_revue_starlight_rondo_rondo_rondo_movie_2020,少女☆歌剧 Revue Starlight RONDO·RONDO·RONDO,2020 剧场动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/294134,命中,0.06415458937198068,未命中,60,未命中
saki_tv_2009,天才麻将少女,2009 TV,潜在恋爱,主线,主线,未确认、主线、官方字面,副线,https://bangumi.tv/subject/1444,命中,0.13048085839183998,未命中,89,未命中
yuru_yuri_comma_ova_2019,摇曳百合、,2019 OVA,明确欲望,主线,重要副线,欲望、未确认、主线,无,https://bangumi.tv/subject/243787,命中,0.1045323970635174,命中,75,命中
yuru_yuri_nachuyachumi_ova_2015,摇曳百合 夏日时光！,2015 OVA,潜在恋爱,主线,重要副线,未确认、主线、官方字面,无,https://bangumi.tv/subject/99796,命中,0.11720430107526882,未命中,77,命中
love_live_nijigasaki_tv_2020,Love Live! 虹咲学园校园偶像同好会,2020 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/296659,命中,0.10938743038981702,未命中,73,未命中
uma_musume_pretty_derby_shin_jidai_no_tobira_movie_2024,赛马娘 Pretty Derby 新时代之门,2024 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/472620,未命中,0.018243086218917036,未命中,0,未命中
hibike_euphonium_ensemble_contest_movie_2023,特别篇 吹响吧！上低音号～合奏比赛～,2023 剧场动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/386195,未命中,0.024102193299590263,未命中,0,未命中
ohmuro_ke_dear_friends_movie_2024,大室家 亲爱的朋友们,2024 剧场动画,明确交往,主线,重要副线,交往、欲望、未确认、主线、官方字面、官方恋爱,无,https://bangumi.tv/subject/448657,命中,0.1433399042523233,命中,92,命中
bang_dream_garupa_pico_2018,BanG Dream! 少女乐团派对！☆PICO,2018 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/246431,未命中,0.01695633743111488,未命中,0,未命中
violet_evergarden_gaiden_movie_2019,紫罗兰永恒花园 外传 - 永远与自动手记人偶 -,2019 剧场动画,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/280837,命中,0.00904977375565611,未命中,0,未命中
hanasaku_iroha_tv_2011,花开伊吕波,2011 TV,非恋爱,重要副线,缺席,,并行,https://bangumi.tv/subject/22759,未命中,0.0017672742393790284,未命中,0,未命中
gochuumon_wa_usagi_desu_ka_2nd_tv_2015,请问您今天要来点兔子吗？？,2015 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/123568,未命中,0.11527139389557403,未命中,0,未命中
bocchi_the_rock_rere_movie_2024,剧场总集篇孤独摇滚！ Re:Re:,2024 剧场动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/459642,未命中,0.044072118011291204,未命中,56,无可对应页面
machikado_mazoku_tv_2019,街角魔族,2019 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/272510,命中,0.11087253562365801,未命中,70,未命中
uma_musume_pretty_derby_road_to_the_top_web_2023,赛马娘 Pretty Derby 巅峰之路,2023 WEB,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/380448,未命中,0.01348300514235545,未命中,0,未命中
rwby_volume_1_web_2013,红白黑黄,2013 WEB,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/75055,命中,0.02512496711391739,无可对应页面,,无可对应页面
mahou_tsukai_precure_tv_2016,魔法使光之美少女！,2016 TV,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/159826,未命中,0.09911678115799803,未命中,70,未命中
tamayura_more_aggressive_tv_2013,玉响～more aggressive～,2013 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/45213,命中,0.05324764746385127,未命中,0,未命中
food_court_de_mata_ashita_tv_2025,明天，美食广场见。,2025 TV,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/528438,未命中,0.05754297471294883,未命中,37,未命中
yuru_yuri_nachuyachumi_plus_tv_2015,摇曳百合 夏日时光！+,2015 TV 特别篇,潜在恋爱,主线,重要副线,未确认、主线、官方字面,无,https://bangumi.tv/subject/136311,命中,0.11353009935710111,未命中,82,命中
hidamari_sketch_special_ova_2007,向阳素描 特别篇,2007 OVA,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/9642,命中,0.07871853546910755,未命中,20,未命中
konohana_kitan_tv_2017,此花绮谭,2017 TV,明确欲望,主线,主线,欲望、未确认、主线,无,https://bangumi.tv/subject/211934,命中,0.13023047661669276,未命中,73,命中
